ts,rhoavgc,rhoavgo,rhomaxc,rhomaxo
0.87,980.386931402912,974.9362565761302,1012.8085232215191,1017.5517168748568
0.88,980.0689290269156,974.9294350552213,1019.7208816173403,1023.6270124636528
0.89,979.5385845545686,974.2771551258566,1018.4631524224276,1027.7866905153369
0.9,979.1958946618745,973.1330506604199,1014.3745417155192,1024.1737010603806
0.91,979.3054178052294,971.9536639480636,1016.9863949169309,1022.4561769715457
0.92,979.2024794251621,971.0581681701553,1014.4509139634301,1023.635253639623
0.93,979.5192483474675,970.3853885888145,1023.2241780966589,1025.2394540699104
0.9400000000000001,979.7205818786537,969.7021733304805,1017.3734119298961,1015.3787661152751
0.9500000000000001,979.1078567998218,969.3668730248697,1022.6344579860361,1013.1556784229922
0.96,977.9444559177049,969.2505809982459,1017.6473387715059,1012.8580731040356
0.97,976.9389401623337,968.7613341617177,1014.0793644807874,1017.7242931144034
0.98,975.9180230294379,967.6530830937135,1013.6903490066237,1030.893009876967
0.99,975.1146278486804,966.608162045403,1018.8319637805288,1030.0062522019596
1.0,974.3880796833988,965.6610190513177,1017.4076009559025,1030.7802793283333
1.01,973.5925942855131,964.934672486388,1023.1491696827414,1023.4267067411845
1.02,972.8623816962631,964.5391474188509,1023.8089332527716,1035.950644966611
1.03,972.5974999123508,963.7039476699673,1021.0651268338665,1026.5016100978007
1.04,972.203218694334,962.6184589547449,1019.4062974002419,1024.4727592677746
1.05,972.0531100881294,961.3432826243461,1017.0742095031693,1017.5287634229181
1.06,971.8687455070199,960.0686600762642,1021.2422925965187,1016.274845603137
1.07,971.6123091009802,959.3866950826413,1016.1186432123394,1013.2679574948345
1.08,971.2338318162169,958.9377622358404,1016.7985263671521,1020.108597242616
1.09,970.8946194068269,958.4890665285798,1013.2293012695258,1014.3552212373727
1.1,970.7866614186643,958.0457204282294,1010.6994069880019,1015.6345195192689
1.11,970.3686612236952,957.5870316975113,1012.1472508598457,1022.6906144783172
1.12,970.17924680315,957.0477400926579,1018.9144602320256,1018.0287747507132
1.1300000000000001,969.7953056637725,956.5462963453931,1017.6880128466303,1016.4672703773676
1.1400000000000001,969.3565051323836,956.1801512608263,1013.2714579313039,1012.9961067136238
1.1500000000000001,969.2030499210783,956.0229629782684,1017.442320980637,1013.1530355272174
1.16,968.8327718268947,955.7518048985163,1012.1203705773777,1016.8698805977047
1.17,968.0941737260439,955.4552304751383,1017.5273610417487,1012.8302183209631
1.18,967.2727159454016,955.321548816141,1015.9985082647036,1015.3960990671529
1.19,966.5731719921303,955.5332543636974,1010.591180920646,1022.8057945768415
1.2,966.0550887738948,955.4636796292875,1013.9690464549676,1013.8617338034219
1.21,965.3972259250831,955.6007236853246,1014.4655864216013,1013.0090449684758
1.22,964.7725183090598,955.459283796436,1013.2975076938781,1009.2458190808244
1.23,964.3468495253518,955.3830857029421,1010.3108796862937,1009.6508224700049
1.24,963.6387401394866,955.2449177710646,1008.9534946161554,1009.5237149250424
1.25,962.8720238360072,954.848986118218,1007.8975704144923,1014.1241906185658
1.26,961.9548769334143,954.2582510650528,1007.4849500573084,1015.6460627843545
1.27,960.8462476869352,953.6891604954977,1008.8140639100474,1016.5572245949733
1.28,959.8610858492181,953.008979387019,1011.3105445561889,1012.533311994003
1.29,959.1197814686146,952.3927615034537,1020.2119256063047,1013.0871097977101
1.3,958.4662749765401,951.9675750861826,1009.541304439482,1010.1730174978848
1.31,957.6529086974728,952.0119787243725,1016.4151381232747,1009.6513635434932
1.32,957.076646797834,951.7240576538052,1011.0303148751273,1008.9255493676753
1.33,956.6752049267311,951.2324600249339,1006.8486890912743,1008.4825519847047
1.34,956.6523384239946,950.5682819951313,1007.6243343796223,1011.7363177226479
1.35,956.469055509777,950.0994417259568,1008.2968549377746,1010.4663238177168
1.36,956.4742203417372,949.723708386812,1007.4467368969154,1013.3469653614562
1.37,956.42177992902,949.239270985491,1007.123492848261,1012.4305842508985
1.3800000000000001,956.2574236364085,948.8761787261886,1009.3727363968716,1011.4846307650736
1.3900000000000001,956.350362747891,948.5556903319394,1006.7742102353716,1011.1399035057257
1.4000000000000001,956.6466305692179,948.298288008099,1007.9783885978052,1012.4962689464629
1.41,957.136083667054,948.2770011528044,1007.8095037197957,1010.7469286867604
1.42,957.2313182994171,948.4009122066237,1008.3493265000982,1009.911240748324
1.43,957.4459598498258,948.8684896351111,1008.1571239006657,1022.7053324036403
1.44,957.5876413382447,949.8181658328386,1007.5362556596777,1018.152135641326
1.45,957.8671976081506,950.5429970403878,1008.4517694454441,1011.6072582198605
1.46,958.1562398627542,950.7662052432235,1008.0596746963434,1009.5327836835461
1.47,958.6086110954071,951.2076662577455,1009.0185810095049,1010.6433303578098
1.48,958.9621798668429,951.6609738768345,1012.042742897199,1008.9478663928523
1.49,959.340814497274,952.2300055409643,1007.6915792036191,1007.196452658395
1.5,959.7449868405744,952.6762325314778,1007.5269249455373,1008.5672325675857
1.51,960.3046126857992,953.261968327666,1008.1788630983075,1011.0188156792073
1.52,960.5647070818229,953.770890508488,1008.626926008153,1013.4668171322455
1.53,960.2431065388118,954.0662196633518,1008.7507319125826,1018.9908348930113
1.54,960.0552968105894,954.428230006499,1013.4454440293476,1013.1740626901923
1.55,960.220068915425,954.5141352208991,1012.8691058348625,1008.4923209299116
1.56,960.1207652833058,954.3491524580838,1010.0773622540572,1006.8789167154935
1.57,959.9491346525263,954.4188853198227,1012.3987852574829,1007.5552249282241
1.58,960.1654804612228,954.7148545979124,1016.4133731384173,1010.735570595116
1.59,960.8360082071141,954.9133838665877,1013.5241075476093,1009.0874696035667
1.6,961.1264276318101,955.4681657816426,1015.9169404682467,1012.6331912566027
1.61,961.116410830114,955.9763071361288,1009.8642835213068,1013.3572165983488
1.62,961.0979371894716,956.2621079958826,1010.7742801606776,1018.2385109367423
1.6300000000000001,961.1183505004251,955.8771852817506,1011.5844612418942,1010.0399103081251
1.6400000000000001,961.1786297572409,955.1214753349094,1008.6976855127047,1006.7951081439106
1.6500000000000001,960.8135734112143,954.6355554908342,1010.5854502925453,1009.7233478769119
1.6600000000000001,960.4552604379164,954.5975296695228,1023.0281928898141,1016.4190402335158
1.67,960.5422511705913,955.003465000059,1022.5705971552298,1013.2923369360815
1.68,961.5339095218501,955.6344271357605,1019.2586009436895,1017.2996143497761
1.69,962.8525964399811,956.3077650848965,1013.7480159801844,1023.2009954332025
1.7,963.3971836780198,956.46613155217,1010.6308318905424,1019.6038660754451
1.71,963.9223887612079,956.8464573802413,1012.168676517932,1012.0734543603423
1.72,964.6178393690742,957.526879965301,1024.5483271852477,1018.909134844128
1.73,965.2085566378346,958.2788794200388,1029.5312730522248,1020.3513265709222
1.74,966.2405340847571,959.9286686373424,1017.6833024188865,1023.1363075520737
1.75,966.8591154425452,961.6463660482586,1018.4994434392,1019.131826359167
1.76,967.3527178432211,962.8428063139165,1014.9445230086055,1036.7010255533605
1.77,966.9102695302048,963.5153417419073,1013.7348822575212,1029.5504301937158
1.78,966.6524243983672,963.6063973981578,1009.8932092601157,1013.0801552817913
1.79,966.373432865475,963.4886193911192,1009.7943332385821,1016.4970677034248
1.8,966.3666839720345,964.1647417485568,1012.5349835053712,1015.1306287179883
1.81,967.3330669379975,965.3225409205801,1021.3899398625039,1013.047408098839
1.82,967.8513421262677,965.7330383902568,1018.4878635357777,1018.5033521441998
1.83,967.8905502652216,965.3595471169964,1014.8776329777002,1020.7618854503676
1.84,968.0668964472161,964.8512845194261,1026.2863666534477,1013.2789712645302
1.85,968.4082655158204,965.1586666152161,1021.0167765025291,1011.598838883067
1.86,968.1198219581353,965.5163514696951,1027.3080603708497,1019.7658473213849
1.87,968.6349820912242,967.0375331946201,1031.034840247501,1058.8613730485015
1.8800000000000001,969.980338782443,967.1261519141087,1053.9084647754626,1026.0605142674199
1.8900000000000001,969.1357736611218,966.3431923696842,1021.9597116024117,1059.0082780961359
1.9000000000000001,968.3317048881022,965.7636812626904,1021.5998892637816,1022.8944313077668
1.9100000000000001,967.7488782283694,965.7037250240311,1022.7133302145029,1026.1913435282272
1.92,967.1977496405415,965.9692443263539,1024.1962932171805,1084.757753971108
1.93,966.1135203103634,966.3593686503207,1017.518084261058,1050.803550336067
1.94,965.8890106330815,966.6566260645037,1024.8874685078094,1020.9276351569775
1.95,965.1305867365487,967.8421688031918,1016.2374361001115,1048.826239467378
1.96,965.030750091641,967.6197062346307,1016.758470896526,1045.4709256755857
1.97,965.0723842916219,967.0546947144484,1020.228862356226,1025.505037089018
1.98,965.3642829021385,966.4056363438428,1031.4881515692773,1029.8448324300211
1.99,965.3537057154967,965.4066374141116,1037.3138726215338,1031.822496854898
2.0,963.8216760619864,963.7449681640381,1016.2414140058096,1025.5834277724841
2.0100000000000002,962.9659605222439,963.6741927963908,1013.3504083328636,1054.8737273522509
2.02,963.169525680075,962.097953658303,1015.2407834566801,1057.5970809682585
2.0300000000000002,963.7315984584011,961.0964621000189,1031.7459803404463,1037.5955443787059
2.04,964.1307630800458,961.0751514727314,1039.2910018690307,1053.9745500774288
2.05,965.9951575753842,961.7108478920185,1044.596351452854,1044.1195358807493
2.06,967.7292442149095,960.6382263662607,1032.1608830864052,1015.7858853502024
