ts,pmaxo,pmaxc
0.528,133990.3361489389,78470.33806088996,
0.53,123095.48482229699,74507.37535340182,
0.532,109838.61873260605,119189.75686756735,
0.534,96117.52834836785,103948.52613395566,
0.536,86833.92048218472,104858.69317501277,
0.538,90076.16534995461,113679.60593665436,
0.54,101892.41133812508,119166.39293152728,
0.542,120989.57996195831,120527.97192109606,
0.544,144729.88786925416,126158.86671734432,
0.546,170474.61991978926,146963.7240904095,
0.548,194325.73588921063,186953.61649452974,
0.55,210865.47455368625,259215.07690064007,
0.552,217075.30921802198,296167.1319997591,
0.554,198244.10091842388,239134.73932658814,
0.556,152330.63864369658,171224.7884054368,
0.558,112248.34300019457,141891.01887329257,
0.56,88339.82673078544,124456.39066275604,
0.562,79833.7480245098,123193.03285321541,
0.5640000000000001,99739.25632821298,133024.05269691313,
0.5660000000000001,109726.38669443154,148990.96694331302,
0.5680000000000001,137032.2811747641,146306.3443578094,
0.5700000000000001,170448.5076990676,132354.12007843214,
0.5720000000000001,182162.98906553996,120800.89649150115,
0.5740000000000001,162813.33075192347,115057.24823935464,
0.5760000000000001,139123.62943237452,119667.77003287258,
0.578,123344.13024327495,131511.33629195,
0.58,113063.45406729396,132681.23983011008,
0.582,108345.18716609247,124841.94679547095,
0.584,111305.67553051839,112534.61056431635,
0.586,122097.35349872161,102345.00269640141,
0.588,126790.72169198924,87163.34194737,
0.59,123148.66365839125,71392.30569128985,
0.592,105992.07153005083,61427.09149731855,
0.594,86888.81197507663,68132.69990601251,
0.596,75727.27799150252,62715.319083386225,
0.598,75699.55864621326,38790.79542288216,
0.6,82119.8352303135,86418.38062581533,
0.602,81890.99811752279,104147.99860383,
0.604,73193.32938378933,103420.68537093428,
0.606,67650.00989962052,137082.01635941514,
0.608,69811.95030238129,172987.131257213,
0.61,78903.3124741492,194845.19263040056,
0.612,92287.35666218607,204488.69198696734,
0.614,110404.6298760054,183781.03702589642,
0.616,129495.84283922659,150065.23113129567,
0.618,141472.16654799163,117825.18552793369,
0.62,140133.7574189982,129331.07723715215,
0.622,131379.5821121462,126529.1312416617,
0.624,121621.95115883369,92478.60167463045,
0.626,111101.49838350428,85719.55260824905,
0.628,99118.16797355433,87866.73279318251,
0.63,87150.45400802056,71134.24919177813,
0.632,80301.70102058297,62478.7636456065,
0.634,78606.0145140705,92182.81232491774,
0.636,88073.04883043897,98552.28929555649,
0.638,105385.45332301884,106286.09021429237,
0.64,118036.97604988563,117411.6836245559,
0.642,111835.9011013054,124479.3236010676,
0.644,125022.64516587005,120084.34354021472,
0.646,120500.34685986093,111845.57491497064,
0.648,100558.44863257685,98985.97066982325,
0.65,77996.50991977677,71943.03932441257,
0.652,69684.76068289983,76355.94562045344,
0.654,69411.6760784012,62602.02986121937,
0.656,75819.76585480083,59416.25012367138,
0.658,84587.74380491258,61752.27096689275,
0.66,97140.02353204568,65009.317702087756,
0.662,108817.12151021523,65840.28798438219,
0.664,123834.38136252874,71788.23312519613,
0.666,141503.50635851096,76093.45452742775,
0.668,151254.80032275128,93684.28202520976,
0.67,139918.400402669,122889.25637753127,
0.672,118079.29115270697,155408.58184560732,
0.674,103001.57890444512,189747.20188013485,
0.676,96883.15065003553,193333.04139201815,
0.678,97561.23782081644,179383.69318597743,
0.68,95830.27519079729,131261.6716781528,
0.682,91411.27845919623,100771.33991533387,
0.684,86777.81531429218,77505.3488644915,
0.686,87062.95456575899,64898.46017528578,
0.6880000000000001,92666.10284732112,63041.97701215508,
0.6900000000000001,107978.04919513162,62824.07109997918,
0.6920000000000001,135844.57014435803,61333.72819909494,
0.6940000000000001,168065.40779837163,64967.500169934014,
0.6960000000000001,184616.59071108417,71478.5228870156,
0.6980000000000001,168296.87844983576,84377.22388704435,
0.7000000000000001,136309.04023858203,97951.6348502186,
0.7020000000000001,107650.93133987758,99590.75092102124,
0.704,88077.41018318542,103578.55764947944,
0.706,75501.06020295413,99211.73235019363,
0.708,65462.16631166133,91402.9973128762,
0.71,66184.3849098337,96357.82276484503,
0.712,71867.47372370776,105908.71196361094,
0.714,81227.73334261648,119867.23876563708,
0.716,91503.0929400695,141703.4912284965,
0.718,98334.90589107569,164315.84717619885,
0.72,99003.4196715958,182158.20649253667,
0.722,93978.89650433266,172527.49073351634,
0.724,88172.0500437414,151845.7911151635,
0.726,85687.32947104052,119893.81313930496,
0.728,87097.90441706427,97836.64516757413,
0.73,96480.09964994018,148580.44127130654,
0.732,114444.43626493776,76118.5940060607,
0.734,140583.2819241371,70157.86681729538,
0.736,157399.57039502324,71201.94749047369,
0.738,153921.97655240062,143541.01784521266,
0.74,138268.36548901116,112674.47528353459,
